,pid,rest-task_MPFC-PCC,rest-twitching_MPFC-PCC,task-twitching_MPFC-PCC,rest-task_MPFC-LP(L),rest-twitching_MPFC-LP(L),task-twitching_MPFC-LP(L),rest-task_MPFC-LP(R),rest-twitching_MPFC-LP(R),task-twitching_MPFC-LP(R),rest-task_PCC-LP(L),rest-twitching_PCC-LP(L),task-twitching_PCC-LP(L),rest-task_PCC-LP(R),rest-twitching_PCC-LP(R),task-twitching_PCC-LP(R),rest-task_LP(L)-LP(R),rest-twitching_LP(L)-LP(R),task-twitching_LP(L)-LP(R),rest-task_Averaged_CC,rest-twitching_Averaged_CC,task-twitching_Averaged_CC
10,14.0,-0.14721,0.198881,0.34609100000000004,-0.25094,0.16298,0.41392,-0.28375,0.10968,0.39343,-0.09654000000000001,-0.32839,-0.23185,-0.21625999999999995,-0.46384999999999993,-0.24758999999999998,-0.11047000000000007,-0.24352000000000007,-0.13305,-0.18418999999999996,-0.09403,0.09015999999999996
11,16.0,-0.06003900000000001,-0.12242900000000001,-0.06239,-0.21988000000000002,-0.18423,0.035650000000000015,-0.16046999999999997,0.12367600000000001,0.284146,0.13690000000000002,0.3077,0.17079999999999995,0.32925000000000004,0.63363,0.30438,0.46031999999999995,0.7671699999999999,0.30685,0.08101000000000003,0.25425000000000003,0.17324
12,17.0,-0.020439999999999903,-0.38776,-0.3673200000000001,-0.42030999999999996,-0.15822,0.26209,-0.15263,-0.17798000000000003,-0.02535000000000004,-0.37195999999999996,-0.23636000000000001,0.13559999999999994,-0.042240000000000055,-0.05909000000000009,-0.01685000000000003,0.08823000000000003,0.11996000000000007,0.031730000000000036,-0.15322000000000002,-0.14990000000000003,0.0033199999999999896
13,20.0,0.12508999999999992,0.31898,0.19389000000000006,0.17562999999999998,0.07932,-0.09630999999999998,-0.03746000000000005,0.44665999999999995,0.48412,-0.2433599999999999,0.045070000000000054,0.28842999999999996,-0.24997999999999998,0.34054,0.5905199999999999,-0.23761999999999994,0.07680000000000009,0.31442000000000003,-0.07795000000000007,0.21789999999999998,0.29585000000000006
14,21.0,-0.25003000000000003,-0.0007100000000000439,0.24931999999999999,-0.43029,-0.08082,0.34947,-0.31282000000000004,-0.14812000000000003,0.1647,-0.19387000000000004,-0.25038999999999995,-0.056519999999999904,-0.2063799999999999,-0.08953,0.1168499999999999,-0.0032400000000000206,0.10343000000000002,0.10667000000000004,-0.23276999999999998,-0.07768999999999998,0.15508
15,23.0,-0.03693999999999997,0.18342000000000003,0.22036,0.15424,0.090675,-0.063565,-0.030670000000000003,0.264336,0.295006,-0.10126999999999997,0.01434000000000002,0.11560999999999999,-0.38715,-0.14536000000000002,0.24179,-0.40378000000000003,-0.52085,-0.11707000000000001,-0.13426,-0.018900000000000028,0.11535999999999996
16,24.0,-0.26846999999999993,0.23727,0.50574,-0.4848699999999999,-0.020499999999999963,0.46436999999999995,-0.39312000000000014,0.28403,0.6771500000000001,-0.20135999999999993,0.42408700000000005,0.625447,-0.004709999999999992,0.47864,0.48335,-0.5649,-0.20439999999999992,0.36050000000000004,-0.3195800000000001,0.19984999999999997,0.5194300000000001
17,25.0,-0.21952000000000005,0.0045600000000000085,0.22408000000000006,-0.20921,-0.44898000000000005,-0.23977000000000004,-0.36395,-0.36275000000000013,0.0011999999999998678,-0.020419999999999994,-0.003070000000000017,0.017349999999999977,-0.23954000000000003,0.048329999999999984,0.28787,0.09382000000000001,-0.24700999999999995,-0.34082999999999997,-0.15981,-0.16815999999999998,-0.008349999999999969
18,10.0,-0.6830269999999999,-0.163617,0.5194099999999999,-0.29028000000000004,-0.009319999999999995,0.28096000000000004,-0.55183,-0.36032,0.19151000000000007,0.4486,0.44999,0.0013900000000000023,-0.01680999999999999,0.09103,0.10783999999999999,-0.41483,-0.5044200000000001,-0.08959000000000006,-0.25136000000000003,-0.08276999999999995,0.16859000000000007
19,11.0,-0.44853999999999994,-0.35134,0.09719999999999995,-0.622438,-0.433048,0.18939,-0.39615999999999996,-0.05610999999999999,0.34004999999999996,-0.06624000000000008,0.017999999999999905,0.08423999999999998,-0.44926999999999995,-0.29013,0.15913999999999995,-0.69382,-0.30362,0.3902,-0.44608000000000003,-0.23604000000000003,0.21004
